indicator,ISO Country code,GDP ($ USD billions PPP) 2018,GDP ($ USD billions PPP) 2019,GDP ($ USD billions PPP) 2020,GDP ($ USD billions PPP) 2021,GDP per capita in $ (PPP) 2018,GDP per capita in $ (PPP) 2019,GDP per capita in $ (PPP) 2020,GDP per capita in $ (PPP) 2021,health expenditure % of GDP 2014,health expenditure % of GDP 2015,health expenditure % of GDP 2016,health expenditure % of GDP 2017,health expenditure % of GDP 2018,health expenditure % of GDP 2019,health expenditure % of GDP 2020,health expenditure % of GDP 2021,health expenditure % of GDP 2022,health expenditure per person 2015,health expenditure per person 2018,health expenditure per person 2019,unemployment (%) 2018,unemployment (%) 2021,Military Spending as % of GDP 2021,Military Spending as % of GDP 2019
Estonia,EST,46.4,48.3,46.9,50.8,36249,37851,37645,42192,4.39,5.14,5.16,4.96,5.26,,,,5.26,"1,887",1552.6,1598.8,6.9,6.33,2.16%,2.10%
Eswatini,SWZ,9.7,9.9,9.8,10.5,8725,9018,8865,9816,7.07,5.36,5.41,6.14,5.68,5.65,5.34,5,5,,298.1,264.1,25.3,25.76,1.70%,1.80%
Ethiopia,ETH,229.8,249,264.1,278.9,2154,2315,2423,2600,4.6,4.74,5.06,5.65,5.07,,,,5.07,66,24.3,26.7,5.7,3.69,0.53%,0.60%
Fiji,FJI,12.2,12.2,10.3,9.9,14177,14262,12158,12060,4.27,4.81,4.84,4.65,4.84,5.07,,,5.07,331,216.1,235.7,7.9,5.24,1.65%,1.60%
Finland,FIN,265,268.3,262.1,271.2,49581,50322,50937,55007,7.1,7.03,6.85,6.36,6.28,,,,6.28,"3,669",4515.7,4450.3,9,7.53,2.03%,1.50%
France,FRA,"3,038.60","3,094.60","2,851.60","3,050.10",46577,49072,46991,50729,,,,5.45,5.41,,,,5.41,"4,542",4657.8,4491.7,10,8.06,1.95%,1.90%
Gabon,GAB,31.2,32.5,31.9,32.4,15096,15577,15105,15598,2.67,2.99,2.66,3.33,2.93,2.73,3.18,,3.18,481,218.5,215,18.5,22.26,1.71%,1.60%
"Gambia, The",GMB,4.9,5.2,5.2,5.5,2210,2320,2277,2434,2.23,2.16,2.02,2.46,2.37,2.79,2.76,,2.76,,35.8,29.7,29.7,11.21,0.75%,0.80%
Georgia,GEO,53.1,55.8,52,57.4,14594,15622,14731,16997,3,3.16,3.59,3.57,3.52,3.81,3.85,,3.85,718,312.7,291.1,11.6,10.66,1.67%,2.00%
Germany,DEU,"4,434.40","4,481.20","4,276.40","4,400.10",55235,55653,54845,57928,4.92,4.86,4.84,4.87,4.98,,,,4.98,"5,357",5482,5440.3,4.3,3.54,1.34%,1.30%
Ghana,GHA,158.2,168.5,169.4,178.5,5442,5774,5750,6178,4.4,4.43,4.39,3.53,3.89,,,,3.89,249,76.8,75.3,5.8,4.7,0.49%,0.40%
Greece,GRC,312.8,318.4,289.7,313.8,29618,30356,27949,31295,,3.66,,3.48,3.6,,,,3.6,"2,204",1572.7,1500.6,23.9,14.8,3.87%,2.60%
Guatemala,GTM,138.3,143.7,141.5,152.1,8664,9019,8853,9769,2.99,3.03,2.94,2.95,3.14,3.2,3.3,,3.3,444,259.6,271,2.4,3.57,0.44%,0.40%
Guinea,GIN,31,32.8,34.3,35.4,2559,2675,2754,2879,2.42,2.52,2.54,2.32,2.38,1.85,2.2,,2.2,57,35.7,43,6.8,6.34,1.48%,2.00%
Guinea-Bissau,GNB,3.6,3.7,3.6,3.8,1947,2021,1949,2057,2.2,2.3,2.3,2.2,2.14,2.95,2.71,,2.71,100,61.2,62.6,6.5,6.76,1.78%,1.40%
Guyana,GUY,9.7,10.2,14.7,17.6,12776,13634,19703,24494,4.36,3.9,4.74,4.66,4.45,,,,4.45,336,301.4,325.9,11.4,16.42,0.96%,1.70%
Haiti,HTI,35.2,34.6,33.5,32.9,3241,3203,3095,3127,1.75,1.86,1.4,1.5,1.63,,,,1.63,120,63.1,57,13.2,15.73,0.19%,0.00%
Honduras,HND,54.5,55.9,50.9,57.3,5816,5978,5420,6253,7.09,6.41,5.16,4.94,6.06,4.91,6.44,,6.44,353,180.9,187.6,6.3,8.51,1.61%,1.60%
Hungary,HUN,304.2,318.1,303.9,325.5,62514,62103,58980,65973,4.6,4.49,4.61,4.61,4.62,,,,4.62,"1,912",1074,1062.4,5.2,4.12,1.64%,1.20%
Iceland,ISL,20,20.5,19.2,19.9,31913,33515,33274,36753,7.64,7.46,7.43,7.58,7.56,,,,7.56,"4,116",6565.9,6275,3.8,5.4,,0.00%
India,IND,"8,811.10","9,140.50","8,537.60","9,301.50",6670,6972,6525,7334,,4.11,4.25,4.31,4.36,4.41,4.47,,4.47,238,60.3,63.7,3.5,5.98,2.66%,2.40%
Indonesia,IDN,"3,043.90","3,196.70","3,130.60","3,246.20",11643,12311,12072,12904,3.29,3.58,3.5,2.67,3,2.84,,,2.84,369,111.7,120.1,5.6,4.41,0.70%,0.70%
Iran,IRN,"1,252.50","1,235.70","1,257.50",,15677,15533,15791,,2.8,2.8,3.37,3.79,3.96,3.66,3.59,,3.59,"1,262",484.3,470.4,11.3,11.46,2.30%,2.30%
Iraq,IRQ,405.7,428.1,379.6,390.2,10808,11349,9954,10409,,4.49,4.71,,,,,,,481,239.4,253.3,16,14.19,2.28%,3.50%
Ireland,IRL,407.5,427.6,452.6,513.7,84556,87380,93350,106456,4.88,3.76,3.74,3.51,3.39,,,,3.39,"5,335",5484.2,5428.6,8.1,6.63,0.26%,0.30%
Israel,ISR,354.5,367.8,359.9,389.4,39906,40004,39489,43722,5.77,5.86,5.86,6.06,6.11,,,,6.11,"2,819",3329.2,3456.4,5.6,5.05,5.17%,5.30%
Italy,ITA,"2,540.50","2,553.20","2,322.80","2,477.10",43036,44376,41988,45936,4.06,4.07,3.82,4.04,4.26,,,,4.26,"3,351",3000.7,2905.5,11.5,9.83,1.52%,1.40%
Jamaica,JAM,28.6,28.8,25.9,27.1,9967,10190,9241,10026,6.02,5.46,5.31,5.26,5.41,5.16,5.62,6.03,6.03,511,319.9,327.4,13.3,9.18,1.41%,1.60%
Japan,JPN,"5,293.00","5,280.30","5,042.30","5,124.00",42116,42283,42100,42940,3.55,,3.15,3.13,3.08,,,,3.08,"4,405",4256.1,4360.5,3.1,2.8,1.07%,0.90%
Jordan,JOR,99.8,101.7,100.2,102.4,10253,10496,10354,10952,3.8,3.45,3.45,3.23,2.98,2.99,,,2.99,568,335.2,334,13.2,19.25,5.02%,4.70%
Kazakhstan,KAZ,466.9,487.9,475.7,494.7,26155,27464,26750,28600,3.42,2.79,2.98,2.75,2.62,2.86,,,2.86,903,275.9,273,5.2,4.9,0.87%,1.10%
Kenya,KEN,223,234.4,233.9,251.4,4443,4647,4587,5024,4.72,4.74,4.9,4.96,5.11,4.97,5.08,4.8,4.8,157,73.5,83.4,11,5.74,1.12%,1.20%
Korea (Dem. People’s Rep.),PRK,,,,,2198,2192,2172,,11.23,9.86,10.09,10.86,11.97,12.39,,,12.39,,,,4.3,2.59,,
Korea (Rep.),KOR,"2,164.80","2,213.40","2,194.50","2,282.80",,,,,,,,,,,,,,,2543.6,2624.5,3.7,3.53,2.78%,2.70%
Kosovo,XXK,19.3,20.2,19.2,20.9,43044,42998,45226,46918,,,4.33,4.33,4.46,,,,4.46,,,,,,0.94%,0.80%
Kuwait,KWT,211.3,210.1,191.5,,52291,52055,47303,,4.4,4.77,5.85,6.37,6.39,6.49,6.55,,6.55,"2,978",1733.8,1758.7,2.4,3.71,6.69%,5.60%
Kyrgyzstan,KGZ,32.5,33.9,31.1,32.2,5256,5480,4985,5288,5.53,5.99,6.59,6.03,5.55,5.37,,,5.55,287,65.7,62.1,7.7,9.1,1.67%,1.50%
Laos,LAO,53.6,56.5,56.8,58.3,7774,8220,8238,8674,2.94,,,2.52,2.37,2.3,2.23,,2.23,,57.7,68.2,1.5,1.26,,0.20%
Latvia,LVA,57.9,59.4,57.1,59.7,30877,31883,31425,34469,5.28,5.28,4.66,4.37,4.24,,,,4.24,"1,429",1101.5,1166.8,9.9,7.6,2.28%,2.00%
Lebanon,LBN,106.7,99.4,73.6,65.9,15933,15105,11377,10691,2,2.1,2.12,2.13,2.52,2.59,,,2.52,"1,117",695.1,663.1,6.8,14.49,,4.20%
Lesotho,LSO,5.5,5.6,5.2,5.3,2677,2768,2569,2682,7.2,9,7.76,8.16,7.29,7.99,7.67,8.7,8.7,251,124.7,124.2,27.4,24.6,1.29%,1.50%
Liberia,LBR,7.4,7.3,7,7.3,1581,1532,1468,1553,2.2,2.17,2.15,2.66,2.5,2.27,2.31,2.69,2.69,128,61.2,52.6,4,4.09,0.95%,0.50%
Libya,LBY,166.7,148,112.6,147.9,25557,22764,17286,23357,,,,,,,,,,,,,19.2,19.58,,15.50%
Lithuania,LTU,99.3,103.8,103.7,108.9,36376,38541,38881,42665,4.49,4.23,4,3.81,3.89,,,,3.89,"1,875",1249,1370,9.2,7.9,2.02%,2.00%
Luxembourg,LUX,69.9,72.2,71,75.8,116966,117342,117846,134754,3.86,3.77,,3.49,3.65,,,,3.65,"6,382",6227.1,6220.7,5.9,5.23,0.63%,0.60%
Macedonia,MKD,33.5,34.8,32.7,34,16796,17546,16720,17918,2.05,3,3.1,2.71,2.73,3.06,6.3,,6.3,857,399.1,436.9,26.7,16.2,1.54%,1.20%
Madagascar,MDG,41.8,43.7,40.5,42.3,1630,1687,1544,1635,2.38,2.21,2.69,2.7,2.84,2.99,3.1,,3.1,77,22.3,19.8,2.1,2.59,0.77%,0.60%
Malawi,MWI,27.2,28.6,28.9,29.7,1532,1602,1591,1658,4.84,5.61,4.75,4.03,3.32,3.71,2.91,,2.91,108,37.4,30.4,6.7,7.02,0.95%,0.90%
Malaysia,MYS,869.5,908.1,856.8,883.6,28236,29621,27921,29617,5.21,4.89,4.75,4.68,4.48,4.16,3.92,,3.92,"1,064",426.5,436.6,3.3,4.61,1.06%,1.00%
Maldives,MDV,9.7,10.4,6.9,9,19243,20334,13442,18232,3.09,3.89,3.69,3.89,3.91,4.12,,,4.12,"1,514",786.4,854.4,3.2,6.08,,
Mali,MLI,43.6,45.6,45.1,46.5,2338,2420,2348,2447,3.65,3.8,3.09,3.79,3.91,3.48,3.76,,3.76,118,33.4,34.3,8.1,7.72,2.82%,2.70%
Malta,MLT,21.6,22.9,21,22.9,45569,47408,43243,47714,7,5.02,5.08,4.65,,,,,,"3,471",2753.5,2531.9,5.3,3.5,0.51%,0.60%
Mauritania,MRT,22.9,24.2,23.8,24.3,5317,5570,5390,5592,,,1.94,,,1.82,1.88,,1.88,177,57.3,57.9,11.7,11.46,2.38%,2.80%
Mauritius,MUS,28.1,28.9,24.6,25.6,22739,23835,20529,22240,4.92,4.89,5.01,5.02,4.83,4.72,4.61,,4.61,"1,099",656.6,685.9,7.8,7.41,0.17%,0.20%
Mexico,MEX,"2,514.80","2,510.10","2,305.10","2,415.70",20096,19863,18671,20036,5.26,5.23,4.91,4.52,4.25,,,,4.25,"1,009",521,540.4,4,4.38,0.68%,0.50%
Moldova,MDA,33.5,34.7,32.2,36.6,12659,13576,12942,15637,6.27,5.81,5.61,5.62,5.44,6.1,6.39,,6.39,515,276.5,284.3,5,3.96,0.41%,0.40%
Mongolia,MNG,38.1,40.3,38.4,39,12316,13013,12366,12863,4.71,4.22,5.18,4.07,6.17,4.94,,,4.94,470,159.4,163.4,6.7,7.08,0.66%,0.70%
Montenegro,MNE,12.9,13.4,11.3,12.8,21513,23073,19990,22795,,,,,,,,,,957,731.5,735.2,17.5,18.49,1.74%,1.60%
Morocco,MAR,272.5,279.6,262,281.4,7625,7865,7369,8144,,4.65,,5.12,5.35,5.93,6.75,,6.75,435,174.8,174.2,10,11.47,4.18%,3.10%
Mozambique,MOZ,38,38.9,38.4,39.3,1321,1336,1297,1342,6.88,6.01,5.87,5.51,5.45,6.08,6.26,,6.26,64,40.7,39.5,24.4,3.98,1.51%,0.90%
Myanmar,MMR,240,256.2,264.3,216.8,4575,4940,5123,4345,1.9,2.1,1.9,2.33,2.16,2.14,,,2.16,267,59.2,60,0.8,2.17,3.33%,
Namibia,NAM,24.7,24.5,22.5,23.1,10328,10223,9359,9805,9.58,9.85,10.64,9.71,8.88,8.93,9.45,9.64,9.64,942,464.5,427.3,25.6,21.68,3.00%,3.00%
Nepal,NPL,106,113.1,110.4,115.1,13960,14097,14337,15103,3.47,3.26,3.9,4.77,4.43,4.24,4.39,,4.39,151,51.1,53.2,3.2,5.05,1.34%,1.60%
Netherlands,NLD,966,984.9,947.5,995.2,57827,59004,59267,63767,5.46,5.35,5.48,5.18,5.36,,,,5.36,"5,313",5337,5335.3,6.2,4.01,1.42%,1.30%
New Zealand,NZL,210,214.7,212,221.8,42521,45555,44658,46420,6.34,6.33,6.41,6.26,6.05,,,,6.05,"3,530",4037.5,4211,5.2,4.12,1.37%,1.50%
Nicaragua,NIC,37,35.6,35,38.6,5867,5676,5574,6332,4.08,4.08,4.08,4.36,4.47,4.6,4.63,,4.63,406,173.5,160.8,5.9,5.96,0.60%,0.70%
